unit_id,canonical_name,college_dept,unit_type,previous_names,active
ACCT-663ED1,Accounting - Accounting BBA,ACCT,Academic,,Yes
ACCT-985A87,Accounting - Accounting/Professional Accounting MPACC,ACCT,Academic,,Yes
ACCT-F06C3E,Accounting - Taxation MS,ACCT,Academic,,Yes
ARCH-B8FB33,Interior Design BS,ARCH,Academic,,Yes
ARCH-4B9866,Architecture BS,ARCH,Academic,,Yes
ARCH-99F368,Architecture MARCH,ARCH,Academic,,Yes
ARCH-B89DA1,Architecture History Minor,ARCH,Academic,,Yes
ART-FF48CC,Art and Art History - Art BA,ART,Academic,,Yes
ART-0DFBCA,Art and Art History - Art BFA,ART,Academic,,Yes
ART-D9E105,Art and Art History - Art MFA,ART,Academic,,Yes
ART-4703B3,Art and Art History - Art History BA,ART,Academic,,Yes
BE-DBA655,Bioengineering - Biomedical Engineering BS,BE,Academic,,Yes
BE-0AD84F,Bioengineering - Biomedical Engineering MS,BE,Academic,,Yes
BE-F24F15,Bioengineering - Biomedical Engineering PhD,BE,Academic,,Yes
BIOL-E2D9C5,Biology - Biology BA/BS,BIOL,Academic,,Yes
BIOL-97DDD6,Biology - Biology MS,BIOL,Academic,,Yes
BIOL-B2CCCA,Biology - Medical Laboratory Sciences BS,BIOL,Academic,,Yes
BIOL-FE045A,Biology - Microbiology BS,BIOL,Academic,,Yes
BIOL-9A6137,Biology - Quantitative Biology PhD,BIOL,Academic,,Yes
BSAD-A029AE,Business Administration Core BBA (On-campus and FWC),BSAD,Academic,,Yes
BSAD-9587C3,"Business Administration MBA (On-campus, Online, and FWC)",BSAD,Academic,,Yes
BSAD-ADB9A4,Business Administration EMBA (FWC),BSAD,Academic,,Yes
BSAD-FE72F0,Business Administration EMBA (Asia),BSAD,Academic,,Yes
BSAD-A8072D,Business Administration PhD,BSAD,Academic,,Yes
CAAS-2AED4D,Center for African American Studies - African American Studies Minor,CAAS,Academic,,Yes
CE-73AEE8,Civil Engineering - Architectural Engineering BSAE,CE,Academic,,Yes
CE-00B0F8,Civil Engineering - Construction Management BSCM,CE,Academic,,Yes
CE-D2C15B,Civil Engineering - Civil Engineering PhD,CE,Academic,,Yes
CE-EC88E7,Civil Engineering - Construction Management MCM (on-campus & Online),CE,Academic,,Yes
CE-C535EB,Civil Engineering - Civil Engineering BSCE,CE,Academic,,Yes
