unit_id,canonical_name,college_dept,unit_type,previous_names,active
AA-A1C05A,CAAS - Center for African American Studies,AA,Administrative,,Yes
AA-7A60F0,University Libraries,AA,Administrative,,Yes
AA-7FDFD8,Graduate School,AA,Administrative,,Yes
AA-71991F,Fort Worth Center,AA,Administrative,,Yes
AA-823C71,Institutional Effectiveness and Reporting,AA,Administrative,,Yes
AA-CB14C7,Faculty Success,AA,Administrative,,Yes
AA-A355DE,CMAS - Center for Mexican American Studies,AA,Administrative,,Yes
ACCT-5F99DE,Accounting Improvement Report,ACCT,Administrative,,Yes
ACO-E80336,Mav Express,ACO,Administrative,,Yes
ACO-899069,Parking and Transportation Services,ACO,Administrative,,Yes
ACO-C1DD02,Police Department,ACO,Administrative,,Yes
ACO-211FB8,Special Events Facilities,ACO,Administrative,,Yes
ACO-5BEA07,Sustainability,ACO,Administrative,,Yes
ACO-F79C56,Housing,ACO,Administrative,,Yes
ACO-5679BE,Environmental Health & Safety,ACO,Administrative,,Yes
ACO-230CC6,Facilities Management,ACO,Administrative,,Yes
ACO-F5A687,University Center,ACO,Administrative,,Yes
ACO-60CA82,University Compliance,ACO,Administrative,,Yes
BAC-D74C63,University Analytics,BAC,Administrative,,Yes
BAC-D829AD,Information Security Office,BAC,Administrative,,Yes
BAC-76452D,Business Services,BAC,Administrative,,Yes
BAC-D1DA0C,Business Affairs and Controller,BAC,Administrative,,Yes
BAC-47E3D4,"Budgets, Planning & Analysis",BAC,Administrative,,Yes
BIOL-6F050C,Biology,BIOL,Administrative,,Yes
BSAD-05116D,Business Administration Improvement Report,BSAD,Administrative,,Yes
CAPPA-E63375,Architecture Improvement Report,CAPPA,Administrative,,Yes
CAPPA-83A205,"College of Architecture, Planning  and Public Affairs",CAPPA,Administrative,,Yes
CE-A52C00,Civil Engineering,CE,Administrative,,Yes
CHEM-953B77,Chem and Biochem,CHEM,Administrative,,Yes
COB-4B80D9,College of Business,COB,Administrative,,Yes
COE-98AD93,Bioengineering,COE,Administrative,,Yes
COE-89BFD5,Electrical Engineering,COE,Administrative,,Yes
COE-F7EB53,Materials Science Engineering,COE,Administrative,,Yes
COE-D9ED64,College of Engineering,COE,Administrative,,Yes
COE-A3FF12,Civil Engineering,COE,Administrative,,Yes
COE-723CFF,COE Improvement Report,COE,Administrative,,Yes
COE-1696CC,Computer Science and Engineering,COE,Administrative,,Yes
COE-DF6891,"Industrial, Manufacturing, and Systems Engineering",COE,Administrative,,Yes
COED-9494F4,College of Education,COED,Administrative,,Yes
COED-D5A61B,HEALOS,COED,Administrative,,Yes
COED-3E1439,TAP,COED,Administrative,,Yes
COLA-71F9AA,Sociology and Anthropology,COLA,Administrative,,Yes
COLA-E0D192,Modern Languages,COLA,Administrative,,Yes
COLA-58CA94,Art and Art History,COLA,Administrative,,Yes
COLA-463B20,English Language Institute,COLA,Administrative,,Yes
COLA-A378B9,Communication,COLA,Administrative,,Yes
COLA-4D131E,Linguistics and TESOL,COLA,Administrative,,Yes
COLA-BC418C,Music,COLA,Administrative,,Yes
COLA-0B9B1E,Theatre Arts and Dance,COLA,Administrative,,Yes
COLA-BFC231,History,COLA,Administrative,,Yes
COLA-3B30FA,Political Science,COLA,Administrative,,Yes
COLA-4E1C40,English,COLA,Administrative,,Yes
COLA-7BE120,Writing Center,COLA,Administrative,,Yes
COLA-8D9FAA,Philosophy and Humanities,COLA,Administrative,,Yes
